Название,Юрлицо или физлицо,Год признания,Дата внесения,Статус,Сфера деятельности,Описание деятельности,Причина признания,Экстремистская организация,Прекратили работу,Исключена из реестра,Год исключения,Причина исключения
Айнбиндер Александра Александровна,Физлицо,2022,2/11/2022,«Иностранный агент» (СМИ физлицо),СМИ,Учредительница Sota.Vision.,Причина признания неизвестна.,,,,,
Московский комьюнити-центр для ЛГБТ+ инициатив,Юрлицо,2022,2/11/2022,"""«Общественные объединения, функционирующие без приобретения прав юридического лица и выполняющие функции иностранного агента»""",Поддержка ЛГБТК+,"Организация создает благоприятную среду для развития ЛГБТ+ для формирования общества, приветствующего разнообразие, построенного на уважении прав личности и свободного от всех форм социальной стигматизации и дискриминации",Причина признания неизвестна.,,,,,
Региональная национально-культурная общественная организация «Туба калык» (Тубалары),Юрлицо,2022,2/3/2022,«Иностранный агент» (НКО),Этнические объединения и поддержка коренных народов,"«Туба калык» борется за сохранение благоприятной природной среды и условий жизни на Алтае, отстаивает национальную идентичность тубаларов — коренного малочисленного тюркоязычного народа, живущего в северной части Республики Алтай.",Причина признания неизвестна.,,,,,
WOT Foundation,Юрлицо,2021,1/26/2022,«Нежелательная организация»,Политические объединения,Фонд был основан в 2016 году. В 2019 году организация была одним из спонсоров Форума Бориса Немцова.,"Генпрокуратура указала, что организация «представляет угрозу основам конституционного строя и безопасности Российской Федерации».",,,,,
ООО «ЛПНМ» (Лед под ногами майора),Юрлицо,2021,1/26/2022,«Иностранный агент» (СМИ юрлицо),СМИ,"ООО «ЛПНМ» (Лед под ногами майора) создан бывшими сотрудниками «Команды 29», ранее признанными СМИ-«иноагентами»: Валерией Ветошкиной, Еленой Скворцовой, Максимом Оленичевым и Максимом Заговорой. Гендиректором юрлица является Заговора.","Юрлица, учрежденные физическими лицами-«иноагентами» вносятся Минюстом в реестр СМИ-«иноагентов».",,,,,
ООО «Новая глава»,Юрлицо,2021,1/26/2022,«Иностранный агент» (СМИ юрлицо),СМИ,"ООО «Новая глава» учредили журналисты «Радио Свобода» Андрей и Алина Григорьевы, также признанные СМИ-«иноагентами».","Юрлица, учрежденные физическими лицами-«иноагентами» вносятся Минюстом в реестр СМИ-«иноагентов».",,,,,
Гельман Марат Александрович,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),Поддержка местного сообщества,"Российский коллекционер, галерист и публицист, арт-менеджер, политтехнолог, один из создателей «Фонда эффективной политики».",Причина признания неизвестна.,,,,,
Шендерович Виктор Анатольевич,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Российский и израильский журналист, прозаик, поэт, драматург, сценарист, теле- и радиоведущий, сатирик, публицист, педагог.",Причина признания неизвестна.,,,,,
Беляев Иван Михайлович,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Редактор социальных сетей «Радио Свобода», ранее также признанного «иностранным агентом».",Причина признания неизвестна.,,,,,
Владыкина Елена Сергеевна,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),СМИ,"Журналистка «Север.Реалии» и «Крым.Реалии», также признанных «иностранными агентами».",Причина признания неизвестна.,,,,,
Бекбулатова Таисия Львовна,Физлицо,2021,12/30/2021,«Иностранный агент» (СМИ физлицо),СМИ,Главный редактор журнала «Холод».,Причина признания неизвестна.,,,,,
